Irrigation,Biochar,Insects,Mass,VitC
FI,B0,Yes,1292,16.1
FI,B0,No,1272,15.7
FI,B0,Yes,1346,23.0
FI,B0,Yes,1299,18.0
FI,B0,Yes,1320,18.9
FI,B0,No,1315,13.2
FI,B5,No,1662,23.4
FI,B5,Yes,1660,16.5
FI,B5,Yes,1604,7.7
FI,B5,Yes,1636,16.3
FI,B5,No,1668,21.1
FI,B5,Yes,1642,13.2
DI,B0,Yes,975,19.0
DI,B0,Yes,944,23.7
DI,B0,Yes,920,24.0
DI,B0,No,953,23.3
DI,B0,No,959,27.0
DI,B0,No,921,22.6
DI,B5,Yes,1012,4.8
DI,B5,Yes,977,8.9
DI,B5,No,986,9.7
DI,B5,No,1051,11.6
DI,B5,No,1025,9.7
DI,B5,No,1011,16.0
PRD,B0,No,1310,21.9
PRD,B0,No,1253,21.2
PRD,B0,No,1294,28.8
PRD,B0,Yes,1308,20.3
PRD,B0,No,1323,23.4
PRD,B0,No,1266,22.6
PRD,B5,No,1437,17.8
PRD,B5,Yes,1420,14.7
PRD,B5,No,1430,21.0
PRD,B5,No,1433,10.9
PRD,B5,No,1409,21.2
PRD,B5,No,1454,17.6
